Kwh							
Time 	SMNEC25P	SMNEC25P	SMNEC25P	SMNEC25P	SMNEC25P	SMNEC25P	SMNEC25P
 8/20/23 00:15	59	0	13505.8	0	35	0	0
00:30	59	0	13554.6	0	36	0	0
00:45	59	0	13596.4	0	36	0	0
01:00	58	0	13560.2	0	35	0	0
01:15	59	0	13490.1	0	36	0	0
01:30	59	0	13507.2	0	35	0	0
01:45	59	0	13447.2	0	34	0	0
02:00	59	0	13432.8	0	36	0	0
02:15	59	0	13457.4	0	35	0	0
02:30	58	0	13484.7	0	35	0	0
02:45	59	0	13512.9	0	35	0	0
03:00	59	0	13539.6	0	36	0	0
03:15	59	0	13562.3	0	35	0	0
03:30	59	0	13588	0	36	0	0
03:45	58	0	13532.4	0	35	0	0
04:00	60	0	13531.8	0	36	0	0
04:15	58	0	13547	0	35	0	0
04:30	59	0	13556.6	0	36	0	0
04:45	59	0	13568.5	0	35	0	0
05:00	59	0	13573.9	0	36	0	0
05:15	58	0	13587.4	0	35	0	0
05:30	60	0	13593.2	0	36	0	0
05:45	58	0	13603.5	0	35	0	0
06:00	59	0	13614.2	0	36	0	0
06:15	59	0	13606.8	0	36	0	0
06:30	59	0	13615.6	0	35	0	0
06:45	59	0	13613.7	0	36	0	0
07:00	59	0	13609.3	0	35	0	0
07:15	59	0	13605.4	0	36	0	0
07:30	59	0	13600.3	0	35	0	0
07:45	59	0	13621.7	0	36	0	0
08:00	57	0	13615.2	0	36	0	0
08:15	57	0	13581.6	0	36	0	0
08:30	57	0	13571	0	36	0	0
08:45	57	0	13643.5	0	36	0	0
09:00	58	0	13605	0	37	0	0
09:15	57	0	13582	0	36	0	0
09:30	59	0	13635	0	37	0	0
09:45	57	0	13604.9	0	36	0	0
10:00	58	0	13667.4	0	38	0	0
10:15	59	0	13578.4	0	37	0	0
10:30	59	0	13564.6	0	38	0	0
10:45	59	0	13652.7	0	39	0	0
11:00	58	0	13635	0	38	0	0
11:15	59	0	13628.8	0	38	0	0
11:30	58	0	13637.5	0	38	0	0
11:45	59	0	13621.8	0	37	0	0
12:00	59	0	13563.4	0	37	0	0
12:15	56	0	13512.6	0	37	0	0
12:30	52	0	13543.1	0	36	0	0
12:45	53	0	13597	0	35	0	0
13:00	57	0	13651.1	0	37	0	0
13:15	57	0	13657.8	0	37	0	0
13:30	58	0	13651.3	0	37	0	0
13:45	58	0	13657.7	0	38	0	0
14:00	57	0	13665.8	0	37	0	0
14:15	59	0	13708	0	38	0	0
14:30	58	0	13666	0	38	0	0
14:45	58	0	13637.8	0	37	0	0
15:00	59	0	13668.9	0	38	0	0
15:15	59	0	13656.9	0	37	0	0
15:30	59	0	13642.5	0	38	0	0
15:45	58	0	13643.8	0	37	0	0
16:00	59	0	13643.1	0	37	0	0
16:15	58	0	13640.4	0	38	0	0
16:30	55	0	13584.9	0	36	0	0
16:45	50	0	13546.3	0	33	0	0
17:00	49	0	13536.7	0	32	0	0
17:15	55	0	13588.1	0	36	0	0
17:30	57	0	13583.1	0	36	0	0
17:45	56	0	13554.2	0	36	0	0
18:00	57	0	13582.8	0	37	0	0
18:15	58	0	13700.1	0	37	0	0
18:30	58	0	13699.3	0	36	0	0
18:45	59	0	13637.4	0	36	0	0
19:00	58	0	13638.7	0	38	0	0
19:15	51	0	13670.8	0	34	0	0
19:30	52	0	13694.7	0	34	0	0
19:45	55	0	13725.1	0	36	0	0
20:00	54	0	13660.8	0	35	0	0
20:15	50	0	13604.5	0	33	0	0
20:30	54	0	13682.2	0	36	0	0
20:45	56	0	13763.9	0	37	0	0
21:00	56	0	13748.5	0	37	0	0
21:15	56	0	13749.9	0	36	0	0
21:30	56	0	13740.4	0	37	0	0
21:45	55	0	13752.2	0	37	0	0
22:00	57	0	13764.5	0	36	0	0
22:15	55	0	13778.4	0	37	0	0
22:30	56	0	13798.9	0	36	0	0
22:45	56	0	13730.7	0	36	0	0
23:00	56	0	13707.7	0	37	0	0
23:15	54	0	13634.5	0	35	0	0
23:30	57	0	13494.7	0	35	0	0
23:45	55	0	13540.1	0	35	0	0
 8/20/23 24:00	56	0	13558.7	0	35	0	0
