Kwh							
Time 	SMNEM24P	SMNEM24P	SMNEM24P	SMNEM24P	SMNEM24P	SMNEM24P	SMNEM24P
 8/20/23 00:15	0	653	13584.4	0	0	0	45
00:30	0	653	13628.5	0	0	0	48
00:45	0	650	13668.1	0	0	0	49
01:00	0	649	13676.6	0	0	0	38
01:15	0	652	13564.6	0	0	0	49
01:30	0	653	13580.4	0	0	0	49
01:45	0	654	13517.2	0	0	0	49
02:00	0	650	13623.4	0	0	0	14
02:15	0	650	13656.3	0	0	0	13
02:30	0	650	13683.5	0	0	0	16
02:45	0	653	13647.3	0	0	0	34
03:00	0	656	13609.2	0	0	0	51
03:15	0	658	13629.9	0	0	0	51
03:30	0	656	13656	0	0	0	52
03:45	0	658	13598.4	0	0	0	52
04:00	0	658	13595.3	0	0	0	53
04:15	0	659	13610	0	0	0	53
04:30	0	657	13624	0	0	0	54
04:45	0	659	13633.5	0	0	0	53
05:00	0	659	13640	0	0	0	53
05:15	0	660	13647.4	0	0	0	54
05:30	0	659	13658.6	0	0	0	54
05:45	0	655	13668.9	0	0	0	53
06:00	0	661	13676.4	0	0	0	54
06:15	0	661	13670.2	0	0	0	54
06:30	0	663	13673.4	0	0	0	55
06:45	0	667	13686.8	0	0	0	52
07:00	0	662	13671.1	0	0	0	55
07:15	0	661	13668.6	0	0	0	54
07:30	0	660	13665.7	0	0	0	54
07:45	0	658	13692.2	0	0	0	54
08:00	0	658	13687.7	0	0	0	54
08:15	0	657	13651.1	0	0	0	55
08:30	0	658	13616	0	0	0	61
08:45	0	657	13723.1	0	0	0	53
09:00	0	660	13679.9	0	0	0	52
09:15	0	657	13627.1	0	0	0	59
09:30	0	654	13717.3	0	0	0	49
09:45	0	653	13684.3	0	0	0	48
10:00	0	653	13747.1	0	0	0	48
10:15	0	652	13661.1	0	0	0	47
10:30	0	650	13646.3	0	0	0	47
10:45	0	648	13740.9	0	0	0	45
11:00	0	651	13723.2	0	0	0	45
11:15	0	649	13711.4	0	0	0	46
11:30	0	655	13718.1	0	0	0	48
11:45	0	652	13699.7	0	0	0	48
12:00	0	653	13639.6	0	0	0	47
12:15	0	577	13601.3	0	0	0	43
12:30	0	454	13551.2	0	0	0	60
12:45	0	498	13566	0	0	0	74
13:00	0	637	13617	0	0	0	81
13:15	0	641	13618.3	0	0	0	81
13:30	0	651	13620.1	0	0	0	77
13:45	0	652	13623.5	0	0	0	78
14:00	0	654	13627.9	0	0	0	79
14:15	0	652	13668	0	0	0	80
14:30	0	647	13713.2	0	0	0	55
14:45	0	645	13726	0	0	0	46
15:00	0	646	13753.2	0	0	0	46
15:15	0	648	13738.1	0	0	0	49
15:30	0	646	13730.9	0	0	0	47
15:45	0	646	13731.9	0	0	0	46
16:00	0	646	13732.4	0	0	0	47
16:15	0	652	13736.3	0	0	0	44
16:30	0	549	13664.9	0	0	0	46
16:45	0	457	13635.8	0	0	0	38
17:00	0	458	13626.4	0	0	0	38
17:15	0	612	13671.5	0	0	0	45
17:30	0	640	13665.6	0	0	0	45
17:45	0	639	13640.7	0	0	0	44
18:00	0	642	13675.4	0	0	0	44
18:15	0	641	13778.9	0	0	0	47
18:30	0	639	13785.5	0	0	0	45
18:45	0	639	13720.1	0	0	0	44
19:00	0	539	13730	0	0	0	36
19:15	0	454	13759	0	0	0	34
19:30	0	510	13791.2	0	0	0	35
19:45	0	650	13815.7	0	0	0	40
20:00	0	566	13754.7	0	0	0	37
20:15	0	477	13703.3	0	0	0	33
20:30	0	645	13777.3	0	0	0	38
20:45	0	651	13855.5	0	0	0	38
21:00	0	650	13844.8	0	0	0	35
21:15	0	651	13841.1	0	0	0	37
21:30	0	649	13832.8	0	0	0	38
21:45	0	651	13839.4	0	0	0	39
22:00	0	652	13855.9	0	0	0	40
22:15	0	652	13870.9	0	0	0	38
22:30	0	652	13884.3	0	0	0	41
22:45	0	648	13821.3	0	0	0	39
23:00	0	648	13800.3	0	0	0	40
23:15	0	649	13720.9	0	0	0	44
23:30	0	649	13587.9	0	0	0	41
23:45	0	647	13634.9	0	0	0	42
 8/20/23 24:00	0	649	13651.5	0	0	0	42
