SMNEC25P	Kwh	
Fecha	CANAL 1	CANAL 2
20/08/2023 00:15	59	0
20/08/2023 00:30	59	0
20/08/2023 00:45	59	0
20/08/2023 01:00	58	0
20/08/2023 01:15	59	0
20/08/2023 01:30	59	0
20/08/2023 01:45	59	0
20/08/2023 02:00	59	0
20/08/2023 02:15	59	0
20/08/2023 02:30	58	0
20/08/2023 02:45	59	0
20/08/2023 03:00	59	0
20/08/2023 03:15	59	0
20/08/2023 03:30	59	0
20/08/2023 03:45	58	0
20/08/2023 04:00	60	0
20/08/2023 04:15	58	0
20/08/2023 04:30	59	0
20/08/2023 04:45	59	0
20/08/2023 05:00	59	0
20/08/2023 05:15	58	0
20/08/2023 05:30	60	0
20/08/2023 05:45	58	0
20/08/2023 06:00	59	0
20/08/2023 06:15	59	0
20/08/2023 06:30	59	0
20/08/2023 06:45	59	0
20/08/2023 07:00	59	0
20/08/2023 07:15	59	0
20/08/2023 07:30	59	0
20/08/2023 07:45	59	0
20/08/2023 08:00	57	0
20/08/2023 08:15	57	0
20/08/2023 08:30	57	0
20/08/2023 08:45	57	0
20/08/2023 09:00	58	0
20/08/2023 09:15	57	0
20/08/2023 09:30	59	0
20/08/2023 09:45	57	0
20/08/2023 10:00	58	0
20/08/2023 10:15	59	0
20/08/2023 10:30	59	0
20/08/2023 10:45	59	0
20/08/2023 11:00	58	0
20/08/2023 11:15	59	0
20/08/2023 11:30	58	0
20/08/2023 11:45	59	0
20/08/2023 12:00	59	0
20/08/2023 12:15	56	0
20/08/2023 12:30	52	0
20/08/2023 12:45	53	0
20/08/2023 13:00	57	0
20/08/2023 13:15	57	0
20/08/2023 13:30	58	0
20/08/2023 13:45	58	0
20/08/2023 14:00	57	0
20/08/2023 14:15	59	0
20/08/2023 14:30	58	0
20/08/2023 14:45	58	0
20/08/2023 15:00	59	0
20/08/2023 15:15	59	0
20/08/2023 15:30	59	0
20/08/2023 15:45	58	0
20/08/2023 16:00	59	0
20/08/2023 16:15	58	0
20/08/2023 16:30	55	0
20/08/2023 16:45	50	0
20/08/2023 17:00	49	0
20/08/2023 17:15	55	0
20/08/2023 17:30	57	0
20/08/2023 17:45	56	0
20/08/2023 18:00	57	0
20/08/2023 18:15	58	0
20/08/2023 18:30	58	0
20/08/2023 18:45	59	0
20/08/2023 19:00	58	0
20/08/2023 19:15	51	0
20/08/2023 19:30	52	0
20/08/2023 19:45	55	0
20/08/2023 20:00	54	0
20/08/2023 20:15	50	0
20/08/2023 20:30	54	0
20/08/2023 20:45	56	0
20/08/2023 21:00	56	0
20/08/2023 21:15	56	0
20/08/2023 21:30	56	0
20/08/2023 21:45	55	0
20/08/2023 22:00	57	0
20/08/2023 22:15	55	0
20/08/2023 22:30	56	0
20/08/2023 22:45	56	0
20/08/2023 23:00	56	0
20/08/2023 23:15	54	0
20/08/2023 23:30	57	0
20/08/2023 23:45	55	0
21/08/2023 00:00	56	0
